method,validated_batch_size,steady_tflops,peak_gpu_gb,peak_cpu_gb
MegaTrain,256,526.707675,137.13,190.49
ZeRO-3 + CPU offload,20,42.16602936209539,260.9441409111023,344.0581741333008
PyTorch Native,12,134.33503428626202,223.28188371658325,5.819671630859375
